,File,Commits
445,resources/lang/de/common.php,30
446,resources/lang/kk-KZ/beatmap_discussions.php,30
447,app/Singletons/OsuAuthorize.php,30
448,resources/js/utils/json.ts,30
449,resources/lang/cs/page_title.php,30
450,resources/lang/id/forum.php,30
451,resources/lang/sk/api.php,30
452,resources/lang/tr/notifications.php,30
453,resources/views/docs/_structures/multiplayer_score.md,30
454,resources/js/beatmap-discussions/new-reply.tsx,30
455,resources/lang/fr/password_reset.php,30
456,resources/lang/pt-br/authorization.php,30
457,resources/lang/th/authorization.php,30
458,resources/lang/tr/store.php,30
459,resources/lang/cs/comments.php,30
460,resources/lang/fi/mail.php,30
461,resources/lang/ca/comments.php,30
462,resources/lang/hu/comments.php,30
463,resources/js/chat/message-item.tsx,30
464,resources/lang/ca/beatmappacks.php,30
465,config/filesystems.php,30
466,app/Libraries/User/CountryChange.php,30
467,app/Models/UserGroup.php,30
468,app/Transformers/Chat/ChannelTransformer.php,30
469,resources/lang/ca/beatmapsets.php,29
470,resources/lang/fr/beatmapsets.php,29
471,resources/lang/ja/beatmapsets.php,29
472,resources/lang/ru/beatmapsets.php,29
473,README.md,29
474,app/Console/Commands/ForumTopicCoversCleanup.php,29
475,app/Http/Controllers/ContestEntriesController.php,29
476,app/Http/Controllers/EventsController.php,29
477,resources/lang/es/common.php,29
478,resources/js/interfaces/user-preferences-json.ts,29
479,resources/lang/es/chat.php,29
480,resources/lang/it/artist.php,29
481,resources/lang/kk-KZ/beatmappacks.php,29
482,resources/lang/kk-KZ/store.php,29
483,resources/js/components/friend-button.tsx,29
484,resources/js/turbolinks-overrides.coffee,29
485,resources/lang/de/contest.php,29
486,resources/lang/bg/notifications.php,29
487,resources/lang/da/accounts.php,29
488,resources/lang/fr/layout.php,29
489,resources/lang/fil/authorization.php,29
490,resources/views/docs/_structures/multiplayer_scores.md,29
491,resources/js/beatmap-discussions/editor.tsx,29
492,resources/js/beatmap-discussions/beatmap-owner-editor.tsx,29
493,resources/js/beatmap-discussions/events.tsx,29
494,resources/lang/pl/beatmaps.php,29
495,resources/lang/ja/authorization.php,29
496,resources/lang/fi/legacy_api_key.php,29
497,resources/js/beatmap-discussions/image-link.tsx,29
498,resources/js/components/lazy-load.tsx,29
499,resources/js/components/mod.tsx,29
500,resources/js/core/forum/forum-post-edit.ts,29
501,resources/js/core/osu-audio/slider.ts,29
502,resources/views/store/invoice.blade.php,29
503,resources/js/components/ranking-select-options.tsx,29
504,resources/js/notification-widget/main.tsx,29
505,resources/js/notifications-index/main.tsx,29
506,resources/lang/lt/rankings.php,29
507,resources/lang/de/beatmapsets.php,28
508,resources/js/utils/beatmap-helper.ts,28
509,resources/views/docs/_structures/user_statistics.md,28
510,app/Transformers/Forum/TopicCoverTransformer.php,28
511,app/Jobs/RemoveBeatmapsetBestScores.php,28
512,app/Models/Score/Model.php,28
513,app/Models/Store/Product.php,28
514,app/Models/Traits/UserScoreable.php,28
515,resources/js/components/comments.tsx,28
516,resources/lang/bg/page_title.php,28
517,resources/lang/cs/artist.php,28
518,resources/lang/fr/chat.php,28
519,resources/lang/hu/common.php,28
520,resources/lang/kk-KZ/page_title.php,28
521,resources/lang/kk-KZ/password_reset.php,28
522,resources/lang/ko/chat.php,28
523,app/Singletons/LocalCacheManager.php,28
524,resources/js/chat/conversation-list.tsx,28
525,resources/js/core-legacy/sticky-footer.coffee,28
526,resources/lang/nl/page_title.php,28
527,app/Transformers/UserTransformer.php,28
528,resources/lang/de/rankings.php,28
529,resources/lang/it/rankings.php,28
530,tests/Controllers/SessionsControllerTest.php,28
531,resources/js/utils/url.ts,28
532,resources/lang/en/notifications.php,28
533,resources/css/bem/changelog-md.less,28
534,resources/js/beatmap-discussions/editor-discussion-component.tsx,28
535,resources/js/beatmap-discussions/review-post-embed.tsx,28
536,resources/js/entrypoints/modding-profile.tsx,28
